深度/m	杨氏模量/Gpa	泊松比	断裂韧性/MPa·m^0.5	水平应力差/Mpa	垂向应力差/Mpa
126.4	31	0.302	0.71	9.3	17.0
126.5	34	0.26	0.25	6.7	17.3
126.6	23	0.116	0.64	9.9	19.1
126.7	39	0.297	0.87	8.0	11.2
126.8	40	0.363	0.41	6.3	12.7
126.9	39	0.247	1.3	5.6	15.6
127.0	25	0.356	0.68	7.5	18.2
127.1	37	0.267	0.13	8.0	14.6
127.2	23	0.324	1.44	5.5	13.2
127.3	19	0.22	0.3	5.9	18.9
127.4	13	0.146	0.06	5.9	14.1
127.5	16	0.233	0.99	7.6	16.8
127.6	15	0.115	0.71	9.3	18.8
127.7	23	0.335	1.29	8.0	18.1
127.8	11	0.382	0.53	6.1	16.2
127.9	25	0.299	1.08	9.6	18.5
128.0	36	0.147	0.34	5.9	12.3
128.1	10	0.273	1.49	8.3	10.1
128.2	30	0.236	0.19	8.8	18.8
128.3	20	0.261	1.36	6.3	16.9
128.4	17	0.367	0.54	7.2	15.2
128.5	36	0.35	0.94	7.7	10.8
128.6	34	0.172	0.68	5.4	12.5
128.7	11	0.398	0.24	5.0	15.8
128.8	35	0.329	0.1	9.4	16.5
128.9	22	0.24	1.39	9.1	18.7
129.0	10	0.367	0.95	7.6	19.5
129.1	11	0.356	1.0	9.9	16.6
129.2	19	0.254	0.63	5.9	17.3
129.3	10	0.394	0.7	6.8	18.2
129.4	12	0.248	0.35	9.7	19.1
129.5	14	0.195	0.69	8.2	10.0
129.6	17	0.391	1.06	9.8	16.3
129.7	23	0.362	0.63	9.9	16.4
129.8	36	0.134	0.2	6.7	14.9
129.9	24	0.361	0.18	6.7	10.2
130.0	24	0.325	0.1	5.4	15.3
130.1	35	0.393	0.72	7.3	18.3
130.2	14	0.31	0.57	7.6	10.9
130.3	28	0.361	0.68	5.3	17.4
130.4	33	0.137	0.43	8.5	10.3
130.5	10	0.376	0.34	6.0	10.0
130.6	40	0.394	0.24	6.7	18.0
130.7	34	0.212	0.71	6.8	13.2
130.8	38	0.194	1.14	5.1	13.6
130.9	17	0.301	0.67	5.0	11.1
131.0	39	0.141	1.26	5.3	16.2
131.1	15	0.333	0.52	5.0	10.2
131.2	16	0.209	1.48	9.5	11.5
131.3	35	0.344	0.67	9.6	16.2
131.4	12	0.386	0.71	9.0	11.3
131.5	10	0.398	0.06	8.6	18.3
131.6	19	0.122	0.3	7.7	19.4
131.7	34	0.142	0.02	7.5	11.6
131.8	17	0.31	1.17	9.9	19.0
131.9	31	0.172	0.73	9.5	16.5
132.0	23	0.307	0.34	6.0	17.1
132.1	26	0.34	0.41	9.4	13.6
132.2	12	0.195	1.06	5.3	15.2
132.3	25	0.209	1.15	7.0	17.7
132.4	24	0.345	0.46	9.4	19.4
132.5	20	0.263	1.06	7.6	16.0
132.6	33	0.28	0.79	9.2	16.3
132.7	30	0.241	1.29	6.3	15.7
132.8	33	0.125	1.1	9.7	12.9
132.9	36	0.378	0.79	6.6	19.1
133.0	38	0.123	0.4	7.8	16.0
133.1	17	0.144	0.63	9.9	14.6
133.2	34	0.166	1.05	7.1	16.5
133.3	11	0.374	0.2	8.8	16.2
133.4	22	0.393	0.52	9.2	15.5
133.5	22	0.116	1.37	6.5	10.0
133.6	13	0.284	1.18	9.2	11.3
133.7	37	0.345	0.46	6.3	14.2
133.8	40	0.341	0.86	5.1	13.8
133.9	29	0.277	1.09	5.3	15.5
134.0	30	0.3	1.02	5.8	16.4
134.1	31	0.224	1.3	5.1	16.2
134.2	27	0.207	1.11	9.1	17.4
134.3	36	0.123	1.04	9.1	15.9
134.4	33	0.227	1.45	5.5	11.9
134.5	27	0.163	0.12	5.5	10.8
134.6	38	0.284	1.37	7.9	15.0
134.7	16	0.187	1.17	6.0	12.3
134.8	28	0.394	1.41	9.7	12.8
134.9	39	0.207	1.34	7.0	14.5
135.0	20	0.148	0.54	7.2	13.1
135.1	23	0.259	1.2	8.6	12.3
135.2	27	0.132	0.43	7.8	19.9
135.3	24	0.333	0.65	8.6	18.9
135.4	10	0.209	0.06	6.3	18.2
135.5	27	0.365	0.69	7.2	11.5
135.6	21	0.187	0.26	8.5	20.0
135.7	29	0.324	0.6	5.1	11.1
135.8	39	0.209	0.25	5.1	15.7
135.9	40	0.242	0.24	9.7	16.3
136.0	33	0.26	1.34	6.1	18.3
136.1	40	0.289	1.38	6.2	14.7
136.2	17	0.249	1.17	6.1	17.3
136.3	21	0.263	1.33	8.6	10.3
136.4	16	0.317	0.54	10.0	16.5
136.5	29	0.102	1.24	8.5	17.7
136.6	39	0.256	1.33	5.5	19.4
136.7	30	0.327	0.04	8.0	13.2
136.8	37	0.327	0.86	6.6	11.0
136.9	12	0.342	0.07	8.3	16.8
137.0	18	0.277	0.31	5.4	17.2
137.1	30	0.395	0.15	7.5	12.5
137.2	20	0.184	0.71	6.5	15.2
137.3	15	0.22	0.98	7.4	17.9
137.4	28	0.361	0.8	9.5	19.6
137.5	38	0.318	0.71	8.2	17.6
137.6	25	0.323	0.83	7.9	19.0
137.7	13	0.304	0.42	7.4	10.9
137.8	34	0.28	0.51	8.7	11.6
137.9	18	0.293	0.35	9.3	18.5
138.0	18	0.207	0.16	8.3	14.9
138.1	30	0.109	0.69	9.3	20.0
138.2	20	0.351	0.65	6.8	19.8
138.3	38	0.208	1.31	5.0	10.9
138.4	30	0.347	0.01	9.4	11.3
138.5	14	0.104	0.12	8.1	17.0
138.6	39	0.382	0.83	7.4	11.0
138.7	28	0.265	0.26	5.9	16.6
138.8	22	0.136	0.94	7.0	18.9
138.9	16	0.107	0.74	8.0	17.0
139.0	28	0.173	0.37	6.8	16.1
139.1	16	0.329	1.46	5.9	19.9
139.2	37	0.259	1.15	5.3	19.5
139.3	17	0.275	0.43	6.1	12.3
139.4	37	0.393	0.98	9.6	14.9
139.5	27	0.231	0.94	9.2	16.0
139.6	26	0.155	0.87	8.0	14.5
139.7	28	0.251	1.22	5.7	19.4
139.8	16	0.19	0.86	7.1	16.9
139.9	35	0.379	1.18	5.7	10.7
140.0	30	0.119	1.44	6.3	12.0
140.1	32	0.252	1.07	9.6	11.5
140.2	38	0.331	0.23	6.9	11.6
140.3	26	0.276	1.39	9.5	17.4
140.4	22	0.247	0.99	7.3	15.7
140.5	25	0.246	1.13	9.1	19.0
140.6	19	0.257	0.56	6.9	16.9
140.7	14	0.174	0.27	5.3	16.1
140.8	25	0.398	0.66	7.5	12.6
140.9	39	0.237	0.26	6.2	15.6
141.0	32	0.166	0.89	7.8	13.9
141.1	24	0.108	1.31	6.7	10.6
141.2	24	0.12	0.59	6.1	15.5
141.3	32	0.159	1.38	5.6	18.8
141.4	33	0.211	0.7	9.6	11.1
141.5	37	0.366	0.63	6.0	11.9
141.6	32	0.296	0.61	8.6	16.2
141.7	13	0.364	1.48	9.9	11.8
141.8	24	0.324	0.85	8.2	10.7
141.9	13	0.324	0.58	7.1	15.0
142.0	37	0.283	1.16	6.8	17.7
142.1	26	0.178	0.79	9.7	13.0
142.2	26	0.208	0.86	9.4	18.4
142.3	10	0.192	1.06	5.5	19.7
142.4	35	0.203	1.45	7.3	14.3
142.5	39	0.388	0.91	5.1	12.5
142.6	12	0.268	1.48	5.6	11.5
142.7	33	0.308	0.9	5.0	19.0
142.8	29	0.168	0.54	9.0	19.0
142.9	18	0.107	1.31	9.8	12.3
143.0	19	0.161	0.02	7.3	14.0
143.1	40	0.153	0.5	5.7	16.6
143.2	27	0.186	0.69	6.5	17.8
143.3	24	0.336	0.87	9.1	19.1
143.4	12	0.329	0.69	7.6	19.2
143.5	32	0.262	1.43	6.2	14.7
143.6	24	0.234	0.17	9.4	18.4
143.7	27	0.233	0.57	6.4	15.3
143.8	24	0.379	0.15	8.8	10.2
143.9	30	0.246	0.65	9.7	13.8
144.0	34	0.393	0.55	9.5	17.9
144.1	23	0.336	1.39	5.4	10.0
144.2	36	0.215	0.17	8.6	17.2
144.3	16	0.312	1.15	5.1	12.9
144.4	35	0.224	0.16	8.1	10.8
144.5	31	0.125	1.02	9.9	16.9
144.6	11	0.127	0.54	5.6	15.7
144.7	10	0.191	1.36	6.2	19.2
144.8	35	0.269	0.06	5.4	14.2
144.9	14	0.163	1.23	7.0	13.7
145.0	18	0.247	1.14	7.3	13.9
145.1	16	0.255	0.93	5.8	18.4
145.2	40	0.377	0.15	5.7	17.8
145.3	39	0.139	0.37	8.3	11.4
145.4	10	0.39	1.46	5.7	15.9
145.5	10	0.134	0.58	9.8	13.5
145.6	17	0.162	0.96	6.4	14.1
145.7	12	0.204	0.49	7.9	14.5
145.8	34	0.188	1.49	6.7	17.5
145.9	12	0.119	0.74	8.0	19.6
146.0	35	0.321	1.03	8.4	16.5
146.1	15	0.248	0.17	9.0	13.0
146.2	25	0.229	1.39	8.1	18.9
146.3	12	0.363	0.58	5.3	17.1
146.4	19	0.112	0.51	6.7	19.6
146.5	21	0.154	1.48	5.0	11.6
146.6	31	0.225	1.4	5.7	18.3
146.7	36	0.159	0.63	8.7	10.0
146.8	21	0.326	1.27	5.3	13.1
146.9	34	0.384	1.24	8.9	10.0
147.0	35	0.122	0.22	9.0	11.9
147.1	25	0.4	0.04	5.0	16.8
147.2	34	0.336	0.63	9.8	16.3
147.3	29	0.319	0.07	7.6	11.9
147.4	26	0.332	0.96	9.7	10.7
147.5	40	0.236	0.56	8.4	10.7
147.6	17	0.109	0.19	6.6	10.2
147.7	24	0.205	0.99	5.1	12.7
147.8	15	0.34	0.54	7.9	18.3
147.9	24	0.172	1.25	6.6	15.1
148.0	38	0.249	0.09	6.4	12.0
148.1	27	0.193	0.04	5.4	16.4
148.2	32	0.208	0.41	8.8	18.4
148.3	21	0.216	0.65	6.7	15.5
148.4	19	0.225	0.75	9.2	16.9
148.5	11	0.203	0.64	6.5	10.2
148.6	18	0.278	1.34	7.2	15.5
148.7	27	0.267	0.42	9.8	14.0
148.8	36	0.151	1.29	5.1	18.9
148.9	15	0.165	0.16	5.3	17.6
149.0	21	0.343	0.49	5.1	17.0
149.1	19	0.137	1.42	8.1	12.5
149.2	28	0.174	1.1	8.6	15.3
149.3	23	0.281	0.77	5.6	12.5
149.4	31	0.273	0.51	9.7	13.2
149.5	27	0.193	0.17	9.5	19.0
149.6	39	0.259	0.83	6.0	15.3
149.7	11	0.152	0.13	6.3	12.8
149.8	20	0.324	1.14	5.7	13.7
149.9	17	0.388	0.16	6.2	18.0
150.0	27	0.387	0.52	9.8	13.7
150.1	15	0.297	0.0	5.8	10.9
150.2	38	0.317	0.22	7.4	19.5
150.3	17	0.3	0.0	9.4	17.3
150.4	17	0.13	1.42	8.8	17.5
150.5	14	0.396	0.33	9.3	16.4
150.6	11	0.176	0.05	8.4	16.3
150.7	18	0.385	0.52	9.5	13.1
150.8	15	0.15	0.29	6.6	13.2
150.9	20	0.235	0.13	5.3	10.4
151.0	17	0.226	0.35	6.8	10.3
151.1	35	0.212	0.17	6.8	11.7
151.2	31	0.314	1.05	9.7	15.2
151.3	30	0.209	0.42	7.6	13.2
151.4	19	0.212	1.02	7.2	15.8
151.5	35	0.347	1.13	8.2	17.3
151.6	35	0.144	0.38	7.9	19.0
151.7	38	0.129	0.54	5.9	12.9
151.8	11	0.299	0.64	5.5	17.2
151.9	11	0.285	0.98	7.3	12.0
152.0	18	0.161	1.06	7.9	15.1
152.1	37	0.218	0.71	8.0	12.5
152.2	37	0.307	1.25	5.5	17.4
152.3	37	0.261	0.43	7.7	10.3
152.4	13	0.225	0.42	6.6	10.7
152.5	26	0.162	1.24	7.2	19.8
152.6	34	0.173	0.98	8.9	13.4
152.7	35	0.302	0.68	6.5	20.0
152.8	28	0.14	1.42	9.2	19.2
152.9	14	0.242	0.89	5.8	15.8
153.0	20	0.114	1.31	8.3	15.9
153.1	24	0.141	0.28	8.0	16.2
153.2	16	0.349	0.54	9.0	12.1
153.3	36	0.128	1.33	9.9	18.4
153.4	22	0.279	0.22	5.4	19.4
153.5	37	0.273	1.13	5.4	15.1
153.6	13	0.166	0.48	8.8	18.4
153.7	35	0.194	0.94	7.9	12.3
153.8	37	0.185	1.17	7.4	15.8
153.9	34	0.327	1.17	5.3	15.5
154.0	40	0.13	1.4	6.3	15.1
154.1	28	0.324	0.4	7.2	15.6
154.2	40	0.343	0.06	9.7	11.7
154.3	15	0.316	1.05	7.9	20.0
154.4	13	0.227	0.31	6.9	10.2
154.5	20	0.163	0.81	6.6	17.5
154.6	23	0.16	0.51	9.4	17.0
154.7	17	0.182	1.08	5.8	19.2
154.8	39	0.322	0.14	9.3	19.1
154.9	39	0.283	0.32	5.9	19.8
155.0	39	0.256	1.12	8.9	18.6
155.1	24	0.196	0.38	8.6	14.2
155.2	12	0.365	1.06	7.6	14.1
155.3	18	0.167	0.91	7.7	12.4
155.4	30	0.145	0.18	9.1	15.5
155.5	39	0.343	1.13	7.6	13.4
155.6	17	0.302	1.02	5.0	18.9
155.7	20	0.22	0.78	9.6	17.5
155.8	10	0.342	1.2	5.4	11.0
155.9	28	0.35	0.99	7.5	16.3
156.0	34	0.234	0.42	6.2	16.2
156.1	26	0.369	0.09	8.9	18.9
156.2	23	0.384	0.89	8.3	19.1
156.3	34	0.191	1.25	5.3	14.4
156.4	40	0.259	1.4	8.3	19.8
156.5	34	0.211	1.11	7.4	15.2
156.6	22	0.311	0.49	9.3	19.8
156.7	12	0.262	0.18	7.2	12.9
156.8	11	0.201	0.36	8.8	13.4
156.9	11	0.199	1.2	7.3	18.0
157.0	39	0.281	0.94	5.6	13.3
157.1	16	0.379	0.18	7.7	16.2
157.2	26	0.311	1.06	5.1	14.8
157.3	18	0.268	1.08	5.3	18.2
157.4	21	0.384	0.16	8.3	10.6
157.5	36	0.11	0.03	6.6	18.4
157.6	32	0.262	0.37	7.4	10.3
157.7	24	0.196	0.26	6.5	13.1
157.8	12	0.303	0.24	9.2	17.8
157.9	26	0.351	0.3	9.1	19.4
158.0	29	0.167	1.42	5.5	17.4
158.1	26	0.209	0.94	6.1	15.4
158.2	26	0.125	0.79	5.0	14.3
158.3	24	0.134	0.6	9.5	16.9
158.4	33	0.215	1.15	6.9	12.2
158.5	40	0.192	0.39	6.4	12.0
158.6	17	0.203	0.8	9.0	11.9
158.7	26	0.38	1.12	7.8	10.5
158.8	26	0.124	0.22	8.9	10.1
158.9	12	0.113	1.49	6.1	16.0
159.0	21	0.255	0.31	6.9	15.1
159.1	37	0.169	0.42	7.2	18.1
159.2	26	0.276	0.51	6.1	15.2
159.3	35	0.298	0.31	5.7	11.5
159.4	22	0.248	0.21	6.0	11.9
159.5	36	0.264	1.01	9.8	13.1
159.6	14	0.241	0.31	6.4	17.8
159.7	31	0.342	0.8	8.9	19.3
159.8	35	0.386	0.63	5.9	11.2
159.9	11	0.364	1.01	5.4	11.6
160.0	33	0.169	1.22	6.9	19.1
160.1	27	0.306	0.17	7.6	17.1
160.2	32	0.144	0.95	7.7	16.3
160.3	22	0.369	1.27	6.2	13.2
160.4	28	0.203	0.58	8.9	13.3
160.5	31	0.144	0.24	8.9	14.0
160.6	32	0.128	0.94	6.8	16.6
160.7	22	0.156	0.5	5.6	13.8
160.8	16	0.301	0.69	6.5	13.7
160.9	20	0.293	0.67	8.5	13.5
161.0	14	0.22	1.05	7.6	13.8
161.1	37	0.202	1.05	9.7	19.6
161.2	34	0.381	0.96	7.8	11.1
161.3	28	0.271	0.71	7.9	11.2
161.4	18	0.316	0.75	8.2	17.9
161.5	33	0.386	0.09	8.0	13.3
161.6	38	0.256	1.45	6.7	19.9
161.7	35	0.161	0.06	7.3	14.7
161.8	22	0.184	1.34	5.8	11.3
161.9	10	0.332	0.05	6.4	16.9
162.0	12	0.356	0.42	7.6	15.3
162.1	21	0.306	0.26	7.0	11.3
162.2	21	0.378	0.31	7.3	11.7
162.3	27	0.353	0.73	5.4	18.0
162.4	24	0.27	0.33	8.4	15.5
162.5	20	0.235	1.29	6.4	10.3
162.6	11	0.19	0.2	6.7	17.3
162.7	27	0.109	0.9	7.0	19.5
162.8	40	0.262	0.75	6.7	13.5
162.9	31	0.307	1.13	5.0	16.5
163.0	26	0.2	0.58	7.2	11.7
163.1	35	0.324	1.44	8.3	10.4
163.2	11	0.311	0.59	6.0	10.6
163.3	16	0.289	1.27	7.0	15.9
163.4	10	0.395	0.47	5.2	16.4
163.5	20	0.386	1.46	7.1	18.4
163.6	18	0.326	0.96	6.4	16.8
163.7	28	0.318	0.88	8.2	11.9
163.8	24	0.113	0.43	7.1	12.3
163.9	14	0.357	1.32	7.9	12.5
164.0	36	0.199	1.29	9.3	13.8
164.1	33	0.147	0.17	5.3	14.2
164.2	11	0.202	1.44	6.9	16.5
164.3	12	0.112	0.98	6.5	12.7
164.4	15	0.387	0.94	8.3	16.5
164.5	39	0.306	0.3	8.7	19.3
164.6	22	0.334	0.93	8.9	14.6
164.7	28	0.268	0.95	5.6	17.5
164.8	28	0.175	0.34	6.0	15.8
164.9	15	0.313	0.65	9.1	19.4
165.0	12	0.237	0.8	9.7	18.8
165.1	16	0.293	0.65	6.3	14.8
165.2	14	0.311	0.49	7.2	16.7
165.3	10	0.192	0.42	7.8	10.9
165.4	35	0.343	0.39	9.7	13.2
165.5	10	0.303	0.04	9.2	14.9
165.6	30	0.154	0.63	6.9	15.2
165.7	31	0.369	1.14	6.3	11.3
165.8	27	0.321	0.42	7.5	12.7
165.9	18	0.371	0.16	6.6	14.2
166.0	12	0.16	1.12	8.5	13.0
166.1	17	0.101	1.17	5.4	18.0
166.2	40	0.299	0.06	8.1	11.0
166.3	12	0.184	1.12	7.7	12.7
166.4	24	0.275	0.25	7.1	19.7
166.5	12	0.343	1.19	5.3	16.0
166.6	35	0.134	0.52	8.9	15.2
166.7	11	0.37	0.04	9.1	19.5
166.8	22	0.162	0.7	6.0	17.8
166.9	24	0.208	0.01	9.5	11.2
167.0	38	0.394	0.1	5.1	18.5
167.1	21	0.279	0.01	9.2	18.7
167.2	25	0.19	1.3	9.3	16.0
167.3	37	0.284	1.39	9.4	18.5
167.4	24	0.225	0.2	8.0	14.4
167.5	12	0.36	0.77	6.3	12.2
167.6	35	0.35	1.4	7.1	12.2
167.7	20	0.113	0.97	6.8	17.6
167.8	40	0.18	1.44	9.0	18.4
167.9	10	0.272	1.1	9.3	15.0
168.0	11	0.101	1.44	5.5	15.5
168.1	24	0.332	1.1	8.0	17.9
168.2	14	0.162	0.96	6.2	11.1
168.3	10	0.16	0.75	5.8	19.9
168.4	35	0.245	1.01	7.2	15.4
168.5	38	0.276	1.05	10.0	12.1
168.6	22	0.157	0.37	7.5	17.2
168.7	10	0.305	1.48	5.6	15.6
168.8	10	0.283	0.3	6.6	19.0
168.9	32	0.298	1.31	10.0	18.6
169.0	13	0.278	0.93	8.7	11.2
169.1	15	0.331	0.88	7.5	16.4
169.2	36	0.104	0.43	5.1	14.5
169.3	19	0.193	0.43	6.2	15.9
169.4	22	0.169	0.68	9.0	17.7
169.5	13	0.151	0.26	5.4	17.1
169.6	19	0.143	1.26	6.5	13.8
169.7	21	0.376	0.15	7.4	16.7
169.8	40	0.341	0.21	9.3	19.3
169.9	24	0.381	0.72	5.2	11.7
170.0	38	0.305	0.76	6.0	10.1
170.1	34	0.242	1.47	6.3	18.5
170.2	34	0.18	1.32	5.2	11.5
170.3	31	0.212	0.91	9.4	17.4
170.4	26	0.33	0.08	6.0	11.0
170.5	17	0.254	0.16	7.6	11.6
170.6	15	0.319	0.55	5.4	16.5
170.7	36	0.176	1.25	8.1	17.4
170.8	10	0.217	1.49	9.8	17.7
170.9	35	0.364	0.03	9.4	19.7
171.0	11	0.245	1.05	7.8	15.3
171.1	11	0.39	1.46	6.7	14.7
171.2	40	0.27	0.82	8.6	10.3
171.3	36	0.348	0.34	9.6	18.9
171.4	38	0.267	1.17	8.0	10.9
171.5	20	0.149	1.13	9.8	14.5
171.6	11	0.364	0.0	9.2	18.5
171.7	24	0.262	0.28	9.2	15.4
171.8	32	0.157	0.82	7.3	16.1
171.9	28	0.387	0.49	5.3	19.5
172.0	12	0.25	0.39	7.5	16.7
172.1	39	0.239	0.64	9.8	10.2
172.2	28	0.285	1.01	9.6	13.9
172.3	28	0.111	1.39	5.3	11.9
172.4	26	0.127	0.31	8.6	19.6
172.5	25	0.309	0.61	8.3	10.3
172.6	25	0.275	0.86	6.8	13.6
172.7	24	0.24	0.03	9.0	15.1
172.8	12	0.174	0.53	9.9	12.6
172.9	20	0.144	0.66	5.1	10.8
173.0	19	0.209	1.26	7.2	13.8
173.1	26	0.38	0.04	5.8	14.1
173.2	12	0.247	1.05	8.3	12.6
173.3	20	0.313	1.3	7.8	19.9
173.4	22	0.279	0.48	7.9	11.4
173.5	25	0.239	1.29	5.2	13.5
173.6	39	0.187	0.3	6.6	16.4
173.7	16	0.178	0.32	10.0	14.5
173.8	10	0.218	1.37	9.2	13.2
173.9	10	0.246	0.61	7.6	10.2
174.0	23	0.232	0.78	9.7	12.0
174.1	31	0.151	0.83	6.3	18.7
174.2	13	0.326	0.62	8.8	12.7
174.3	32	0.198	0.47	5.7	18.0
174.4	13	0.314	0.94	8.7	16.9
174.5	39	0.194	0.84	5.6	18.6
174.6	27	0.315	1.15	8.9	12.2
174.7	18	0.166	0.49	8.4	15.9
174.8	39	0.107	0.11	8.9	11.5
174.9	23	0.366	1.34	7.8	19.6
175.0	35	0.161	0.0	9.4	12.2
175.1	14	0.387	0.89	5.1	10.1
175.2	10	0.211	1.04	7.2	15.4
175.3	29	0.191	1.05	5.8	19.8
175.4	21	0.273	0.1	8.8	19.6
175.5	32	0.257	0.59	9.3	13.9
175.6	18	0.196	0.73	9.3	16.9
175.7	10	0.211	0.45	6.3	16.5
175.8	38	0.116	0.64	6.3	17.2
175.9	39	0.125	1.21	8.0	16.9
176.0	14	0.242	0.31	6.9	14.9
176.1	37	0.267	0.77	5.1	18.8
176.2	29	0.379	1.02	6.8	16.6
176.3	18	0.335	0.5	8.7	16.4
176.4	16	0.168	0.23	5.3	11.9
176.5	16	0.297	0.37	8.7	10.8
176.6	16	0.175	0.67	8.8	15.7
176.7	36	0.335	0.61	6.6	12.5
176.8	12	0.314	1.41	7.8	19.4
176.9	13	0.202	0.68	8.6	12.9
177.0	36	0.165	1.28	6.1	17.9
177.1	23	0.123	0.82	9.7	19.9
177.2	22	0.278	1.14	8.7	11.9
177.3	16	0.115	1.21	10.0	18.2
177.4	31	0.252	1.29	7.6	18.1
177.5	18	0.339	0.81	6.8	16.8
177.6	30	0.367	0.25	6.5	19.6
177.7	39	0.288	0.25	8.2	15.8
177.8	30	0.218	1.1	8.8	18.7
177.9	16	0.317	1.0	6.0	11.4
178.0	19	0.229	0.42	7.3	13.5
178.1	15	0.217	0.18	7.6	12.2
178.2	29	0.368	0.11	5.0	15.3
178.3	37	0.154	0.71	6.8	12.6
178.4	38	0.232	0.61	6.1	13.2
178.5	13	0.249	1.39	7.3	14.4
178.6	16	0.335	0.23	5.8	16.3
178.7	37	0.158	0.21	8.3	15.6
178.8	37	0.174	0.02	7.8	18.1
178.9	12	0.186	1.09	6.5	11.4
179.0	23	0.16	0.16	5.2	14.8
179.1	17	0.386	0.87	6.7	19.2
179.2	10	0.18	0.1	10.0	14.8
179.3	26	0.128	1.27	6.6	12.7
179.4	24	0.176	0.76	5.0	20.0
179.5	22	0.283	0.17	9.8	20.0
179.6	13	0.226	0.31	9.6	14.5
179.7	36	0.149	1.24	5.4	19.8
179.8	10	0.217	0.22	7.5	18.7
179.9	11	0.315	0.38	7.4	13.5
180.0	24	0.104	0.17	7.9	19.5
180.1	38	0.384	1.47	9.6	13.7
180.2	29	0.1	0.4	6.4	18.4
180.3	30	0.212	0.68	8.9	12.5
180.4	23	0.254	0.91	6.6	14.7
180.5	14	0.172	0.14	7.9	19.7
180.6	40	0.231	1.07	6.4	10.4
180.7	21	0.132	0.38	5.5	11.9
180.8	16	0.393	0.54	7.0	16.9
180.9	39	0.102	0.45	6.7	14.2
181.0	33	0.16	0.08	9.9	10.6
181.1	33	0.329	1.02	8.5	17.9
181.2	21	0.323	1.26	8.5	17.1
181.3	23	0.24	0.89	6.8	12.0
181.4	35	0.178	0.6	5.3	16.9
181.5	12	0.102	1.23	7.8	13.1
181.6	23	0.144	0.86	5.2	18.5
181.7	36	0.343	1.27	9.7	10.0
181.8	32	0.369	0.72	8.0	13.0
181.9	17	0.18	1.43	8.5	13.2
182.0	23	0.153	0.98	5.3	19.5
182.1	28	0.375	1.33	8.8	17.9
182.2	16	0.378	1.33	9.2	12.8
182.3	36	0.169	0.54	5.5	18.7
182.4	30	0.232	1.15	7.8	11.6
182.5	35	0.125	1.48	6.2	18.3
182.6	26	0.271	0.43	8.3	14.3
182.7	39	0.221	1.18	6.5	18.7
182.8	32	0.257	1.01	6.9	17.1
182.9	14	0.34	1.17	9.8	14.0
183.0	34	0.272	0.81	6.0	12.4
183.1	18	0.286	0.36	9.0	17.7
183.2	27	0.187	0.39	6.3	11.6
183.3	27	0.222	0.11	8.8	13.0
183.4	38	0.335	1.08	5.8	19.5
183.5	12	0.226	0.88	7.8	16.6
183.6	38	0.275	0.49	8.3	16.8
183.7	29	0.263	0.47	9.1	14.3
183.8	38	0.289	0.65	8.2	13.3
183.9	34	0.386	0.03	5.0	17.6
184.0	35	0.315	1.26	7.1	10.4
184.1	37	0.347	1.24	5.5	10.0
184.2	15	0.399	1.25	7.1	19.4
184.3	24	0.218	0.82	6.7	11.6
184.4	22	0.287	0.9	6.4	16.5
184.5	18	0.174	0.31	6.0	19.4
184.6	28	0.235	0.99	6.3	18.1
184.7	21	0.172	0.07	8.6	10.7
184.8	25	0.217	0.98	5.9	17.1
184.9	29	0.31	1.48	9.8	11.4
185.0	38	0.302	0.68	6.6	12.0
185.1	13	0.259	1.19	9.4	13.1
185.2	17	0.152	1.41	8.8	14.9
185.3	11	0.374	0.38	7.2	19.0
185.4	33	0.315	0.59	5.3	20.0
185.5	12	0.331	0.07	5.0	10.5
185.6	10	0.127	0.5	6.2	18.5
185.7	16	0.25	1.33	5.6	13.6
185.8	29	0.332	0.74	9.8	18.9
185.9	24	0.358	0.33	9.2	14.3
186.0	23	0.119	1.19	6.1	12.2
186.1	33	0.2	1.12	6.3	19.4
186.2	32	0.199	1.21	6.4	15.3
186.3	25	0.132	0.33	5.1	18.0
186.4	29	0.185	1.19	5.7	13.8
186.5	27	0.123	1.34	5.4	12.5
186.6	33	0.354	0.18	7.4	11.3
186.7	33	0.204	1.26	7.7	11.5
186.8	34	0.346	1.05	7.5	19.5
186.9	36	0.335	1.13	8.2	18.1
187.0	27	0.279	0.35	5.6	12.7
187.1	16	0.126	0.76	7.6	13.3
187.2	29	0.332	0.39	5.9	19.8
187.3	35	0.138	0.99	5.0	19.3
187.4	29	0.304	1.45	5.4	10.8
187.5	35	0.4	1.15	7.3	11.2
187.6	27	0.273	1.41	6.8	14.2
187.7	36	0.291	0.77	6.1	15.9
187.8	32	0.31	1.17	7.4	14.3
187.9	23	0.306	0.56	8.0	13.1
188.0	38	0.229	1.03	8.7	13.7
188.1	24	0.372	0.39	6.1	14.9
188.2	33	0.356	0.08	9.9	16.3
188.3	27	0.158	0.35	7.9	17.2
188.4	11	0.287	0.76	7.4	14.5
188.5	34	0.106	0.61	9.1	13.6
188.6	18	0.292	0.59	9.0	15.5
188.7	31	0.281	0.79	6.0	19.2
188.8	10	0.328	0.39	6.4	12.5
188.9	33	0.181	0.07	6.9	11.4
189.0	35	0.274	1.4	9.4	14.2
189.1	24	0.146	0.98	6.4	14.5
189.2	38	0.38	1.39	9.0	14.3
189.3	40	0.17	0.02	9.6	17.0
189.4	33	0.121	0.16	8.9	15.3
189.5	14	0.224	1.31	7.3	11.6
189.6	11	0.143	0.69	9.8	18.1
